,State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
0,Andaman and Nicobar Islands,Port Blair,12.0,20.0,,,,7.0,89.0,28.0,20.0,Good
1,Andhra Pradesh,Vinukonda,36.0,53.0,27.0,14.0,451.0,22.0,68.0,28.0,59.0,Satisfactory
2,Andhra Pradesh,Darsi,35.0,53.0,24.0,8.0,308.0,26.0,69.0,28.0,58.0,Satisfactory
3,Andhra Pradesh,Govindapuram,36.0,55.0,22.0,10.0,321.0,19.0,68.0,28.0,60.0,Satisfactory
4,Andhra Pradesh,Pedda Nakkala Palem,37.0,58.0,23.0,8.0,306.0,23.0,67.0,29.0,61.0,Satisfactory
5,Andhra Pradesh,Pavuluru,37.0,58.0,23.0,8.0,306.0,23.0,67.0,29.0,61.0,Satisfactory
6,Andhra Pradesh,Markapur,35.0,53.0,24.0,8.0,308.0,27.0,72.0,27.0,58.0,Satisfactory
7,Andhra Pradesh,Chilakaluripet,36.0,55.0,22.0,10.0,321.0,18.0,68.0,28.0,60.0,Satisfactory
8,Andhra Pradesh,Addanki,35.0,53.0,24.0,8.0,308.0,24.0,68.0,28.0,58.0,Satisfactory
9,Andhra Pradesh,Ongole,37.0,58.0,23.0,8.0,306.0,31.0,67.0,29.0,61.0,Satisfactory
10,Andhra Pradesh,Kanigiri,35.0,53.0,24.0,8.0,308.0,32.0,70.0,28.0,58.0,Satisfactory
11,Andhra Pradesh,Narasaraopeta,36.0,55.0,22.0,10.0,321.0,19.0,68.0,28.0,60.0,Satisfactory
12,India,Namsai,21.0,32.0,6.0,12.0,274.0,2.0,71.0,30.0,35.0,Good
13,Assam,Bordubi No.1,21.0,32.0,6.0,12.0,274.0,2.0,82.0,28.0,35.0,Good
14,Assam,North Lakhimpur,23.0,35.0,7.0,12.0,277.0,4.0,89.0,28.0,38.0,Good
15,Assam,Bakal,23.0,35.0,7.0,12.0,277.0,3.0,69.0,28.0,38.0,Good
16,Assam,Bezarchuk Bongali,23.0,35.0,7.0,12.0,277.0,6.0,78.0,28.0,38.0,Good
17,Assam,Tinsukia,21.0,32.0,6.0,12.0,274.0,1.0,81.0,28.0,35.0,Good
18,Assam,Doom Dooma,21.0,32.0,6.0,12.0,274.0,3.0,82.0,29.0,35.0,Good
19,Assam,Naharkatia Kaibatra,21.0,32.0,6.0,12.0,274.0,3.0,85.0,28.0,35.0,Good
20,Assam,Seodhai Kopowhuwa,21.0,32.0,6.0,12.0,274.0,6.0,89.0,28.0,35.0,Good
21,Assam,Makum,21.0,32.0,6.0,12.0,274.0,3.0,84.0,28.0,35.0,Good
22,Assam,Dibrugarh,23.0,35.0,7.0,12.0,277.0,6.0,89.0,28.0,38.0,Good
23,Assam,Silapathar,23.0,35.0,7.0,12.0,277.0,2.0,66.0,28.0,38.0,Good
24,India,Golaghat,17.0,27.0,6.0,13.0,226.0,1.0,96.0,26.0,28.0,Good
25,Assam,Hojai,21.0,35.0,7.0,12.0,239.0,4.0,90.0,27.0,35.0,Good
26,Assam,Garmari,21.0,35.0,7.0,12.0,239.0,3.0,84.0,28.0,35.0,Good
27,Assam,Dhing Town,21.0,35.0,7.0,12.0,239.0,5.0,81.0,29.0,35.0,Good
28,Assam,Tezpur,21.0,35.0,7.0,12.0,239.0,4.0,87.0,28.0,35.0,Good
29,Assam,Hatimuria,21.0,35.0,7.0,12.0,239.0,4.0,81.0,29.0,35.0,Good
30,Assam,Lumding,16.0,22.0,,8.0,161.0,2.0,91.0,27.0,26.0,Good
31,Assam,Diphu,16.0,22.0,,8.0,161.0,3.0,85.0,28.0,26.0,Good
32,Assam,Rajagaon,21.0,35.0,7.0,12.0,239.0,1.0,81.0,29.0,35.0,Good
33,Assam,Dhekiajuli,21.0,35.0,7.0,12.0,239.0,5.0,85.0,28.0,35.0,Good
34,Assam,Garehagi,24.0,39.0,12.0,14.0,367.0,4.0,90.0,27.0,40.0,Good
35,Assam,No.1 Barjuli T.E.,21.0,35.0,7.0,12.0,239.0,6.0,78.0,29.0,35.0,Good
36,Bihar,Rajgir,7.0,62.0,11.0,5.0,340.0,25.0,72.0,30.0,62.0,Satisfactory
37,Bihar,Hisua,7.0,62.0,11.0,5.0,340.0,24.0,71.0,29.0,62.0,Satisfactory
38,Bihar,Silao,7.0,62.0,11.0,5.0,340.0,25.0,71.0,30.0,62.0,Satisfactory
39,Bihar,Nawada,7.0,62.0,11.0,5.0,340.0,24.0,72.0,30.0,62.0,Satisfactory
40,Bihar,Islampur,7.0,62.0,11.0,5.0,340.0,26.0,69.0,30.0,62.0,Satisfactory
41,Bihar,Jahanabad,19.0,31.0,12.0,13.0,379.0,26.0,66.0,30.0,32.0,Good
42,Bihar,Bihar Sharif,7.0,62.0,11.0,5.0,340.0,23.0,73.0,29.0,62.0,Satisfactory
43,Bihar,Masaurhi,18.0,38.0,3.0,8.0,600.0,26.0,67.0,30.0,38.0,Good
44,Bihar,Chistipur,18.0,38.0,3.0,8.0,600.0,26.0,67.0,30.0,38.0,Good
45,Bihar,Warisaliganj,7.0,62.0,11.0,5.0,340.0,24.0,72.0,30.0,62.0,Satisfactory
46,Bihar,Khusrupur,25.0,33.0,10.0,3.0,600.0,25.0,68.0,30.0,42.0,Good
47,Punjab,Kharar,9.0,16.0,52.0,2.0,700.0,14.0,68.0,30.0,52.0,Satisfactory
48,Himachal Pradesh,Kasauli,18.0,35.0,48.0,12.0,300.0,6.0,79.0,20.0,48.0,Good
49,Punjab,Sahibzada Ajit Singh Nagar,9.0,16.0,52.0,2.0,700.0,14.0,67.0,30.0,52.0,Satisfactory
50,Himachal Pradesh,Parwanoo,18.0,35.0,48.0,12.0,300.0,7.0,78.0,26.0,48.0,Good
51,Punjab,Banur,9.0,16.0,52.0,2.0,700.0,19.0,68.0,30.0,52.0,Satisfactory
52,Himachal Pradesh,Baddi,18.0,35.0,48.0,12.0,300.0,6.0,76.0,29.0,48.0,Good
53,Haryana,Orian,18.0,35.0,48.0,12.0,300.0,7.0,77.0,27.0,48.0,Good
54,Haryana,Panchkula,1.0,13.0,81.0,2.0,920.0,12.0,71.0,30.0,81.0,Satisfactory
55,Haryana,Pinjore,1.0,13.0,81.0,2.0,920.0,8.0,75.0,28.0,81.0,Satisfactory
56,Chandigarh,Chandigarh,9.0,20.0,61.0,3.0,715.0,12.0,68.0,30.0,61.0,Satisfactory
57,Punjab,Sheikhpur Khurd,1.0,13.0,81.0,2.0,920.0,16.0,69.0,30.0,81.0,Satisfactory
58,Chhattisgarh,Charoda,39.0,56.0,8.0,6.0,389.0,5.0,86.0,26.0,65.0,Satisfactory
59,Chhattisgarh,Bhilai,39.0,56.0,8.0,6.0,389.0,5.0,86.0,26.0,65.0,Satisfactory
60,Chhattisgarh,Dhamtari,42.0,61.0,,,,5.0,88.0,25.0,70.0,Satisfactory
61,Chhattisgarh,Raipur,39.0,56.0,8.0,6.0,389.0,11.0,100.0,26.0,65.0,Satisfactory
62,Chhattisgarh,Arang,39.0,56.0,8.0,6.0,389.0,5.0,88.0,26.0,65.0,Satisfactory
63,Chhattisgarh,Baloda Bazar,45.0,64.0,7.0,6.0,391.0,12.0,82.0,27.0,74.0,Satisfactory
64,Chhattisgarh,Bemetra,39.0,56.0,8.0,6.0,389.0,12.0,81.0,27.0,65.0,Satisfactory
65,Chhattisgarh,Lahraud,45.0,64.0,7.0,6.0,391.0,2.0,85.0,26.0,74.0,Satisfactory
66,Chhattisgarh,Durg,39.0,56.0,8.0,6.0,389.0,5.0,86.0,26.0,65.0,Satisfactory
67,Gujarat,Vapi,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
68,Chhattisgarh,Patan,39.0,56.0,8.0,6.0,389.0,5.0,88.0,26.0,65.0,Satisfactory
69,Dadra and Nagar Haveli,Amli,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
70,Gujarat,Valsad,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
71,Chhattisgarh,Bhatapara,39.0,56.0,8.0,6.0,389.0,12.0,81.0,28.0,65.0,Satisfactory
72,Gujarat,Dharampur,33.0,52.0,9.0,24.0,1781.0,9.0,97.0,25.0,232.0,Poor
73,Gujarat,Parnera,24.0,26.0,1.0,27.0,1500.0,11.0,94.0,26.0,75.0,Satisfactory
74,Gujarat,Killa-pardi,24.0,26.0,1.0,27.0,1500.0,11.0,93.0,26.0,75.0,Satisfactory
75,Maharashtra,Jawhar,34.0,45.0,35.0,22.0,957.0,3.0,98.0,22.0,60.0,Satisfactory
76,Maharashtra,Dahanu,53.0,89.0,,,,17.0,91.0,26.0,89.0,Satisfactory
77,Dadra and Nagar Haveli,Dadra,24.0,26.0,1.0,27.0,1500.0,9.0,94.0,25.0,75.0,Satisfactory
78,Daman and Diu,Daman,24.0,26.0,1.0,27.0,1500.0,15.0,91.0,26.0,75.0,Satisfactory
79,Dadra and Nagar Haveli,Silvassa,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
80,Gujarat,Vapi,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
81,Gujarat,Killa-pardi,24.0,26.0,1.0,27.0,1500.0,11.0,93.0,26.0,75.0,Satisfactory
82,Dadra and Nagar Haveli,Dadra,24.0,26.0,1.0,27.0,1500.0,9.0,94.0,25.0,75.0,Satisfactory
83,Gujarat,Valsad,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
84,Gujarat,Parnera,24.0,26.0,1.0,27.0,1500.0,11.0,94.0,26.0,75.0,Satisfactory
85,Gujarat,Chikhli,33.0,52.0,9.0,24.0,1781.0,11.0,95.0,25.0,232.0,Poor
86,Gujarat,Bilimora,51.0,83.0,,,,11.0,94.0,26.0,84.0,Satisfactory
87,Dadra and Nagar Haveli,Amli,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
88,Dadra and Nagar Haveli,Silvassa,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
89,Gujarat,Dharampur,33.0,52.0,9.0,24.0,1781.0,9.0,97.0,25.0,232.0,Poor
90,Daman and Diu,Daman,24.0,26.0,1.0,27.0,1500.0,15.0,91.0,26.0,75.0,Satisfactory
91,Haryana,Sankhol,26.0,68.0,33.0,10.0,560.0,19.0,48.0,30.0,68.0,Satisfactory
92,Delhi,Delhi,39.0,76.0,17.0,7.0,897.0,9.0,89.0,30.0,76.0,Satisfactory
93,Uttar Pradesh,Khekra,41.0,75.0,15.0,9.0,1040.0,19.0,59.0,30.0,90.0,Satisfactory
94,Haryana,Kharkhoda,46.0,85.0,8.0,5.0,720.0,18.0,54.0,30.0,85.0,Satisfactory
95,Delhi,Gurugram,68.0,99.0,33.0,9.0,615.0,9.0,89.0,30.0,127.0,Moderate
96,Delhi,New Delhi,36.0,94.0,41.0,5.0,649.0,13.0,89.0,30.0,94.0,Satisfactory
97,Haryana,Ferozpur Bangar,46.0,85.0,8.0,2.0,720.0,18.0,52.0,30.0,85.0,Satisfactory
98,Uttar Pradesh,Loni Dehat,46.0,93.0,44.0,6.0,1320.0,20.0,55.0,30.0,93.0,Satisfactory
99,Uttar Pradesh,Baghpat,41.0,75.0,15.0,9.0,1040.0,18.0,62.0,30.0,90.0,Satisfactory
100,Haryana,Khewra,38.0,60.0,62.0,5.0,160.0,18.0,62.0,30.0,64.0,Satisfactory
101,Haryana,Bahadurgarh,26.0,68.0,33.0,10.0,560.0,19.0,49.0,30.0,68.0,Satisfactory
102,South Goa,Margao,38.0,61.0,,,,25.0,88.0,25.0,63.0,Satisfactory
103,Goa,Quepem,35.0,54.0,,,,23.0,89.0,26.0,58.0,Satisfactory
104,Goa,Sanguem,35.0,54.0,,,,20.0,91.0,25.0,58.0,Satisfactory
105,Goa,Vodlemol Cacora,35.0,54.0,,,,21.0,90.0,25.0,58.0,Satisfactory
106,South Goa,Cuncolim,38.0,61.0,,,,28.0,87.0,26.0,63.0,Satisfactory
107,South Goa,Davorlim,38.0,61.0,,,,25.0,88.0,26.0,63.0,Satisfactory
108,Goa,Talaulim,38.0,61.0,,,,24.0,89.0,25.0,63.0,Satisfactory
109,Goa,Ponda,35.0,54.0,,,,22.0,90.0,25.0,58.0,Satisfactory
110,South Goa,Chinchinim,38.0,61.0,,,,27.0,87.0,26.0,63.0,Satisfactory
111,Goa,Curchorem,35.0,54.0,,,,22.0,90.0,25.0,58.0,Satisfactory
112,Goa,Bandoda,38.0,61.0,,,,24.0,89.0,25.0,63.0,Satisfactory
113,Gujarat,Chotila,29.0,49.0,38.0,13.0,658.0,21.0,91.0,27.0,49.0,Good
114,Gujarat,Jasdan,29.0,49.0,38.0,13.0,658.0,20.0,94.0,26.0,49.0,Good
115,Gujarat,Rajkot,29.0,47.0,,,,11.0,94.0,27.0,48.0,Good
116,Gujarat,Paliyad,29.0,49.0,38.0,13.0,658.0,19.0,90.0,27.0,49.0,Good
117,Gujarat,Thangadh,29.0,49.0,38.0,13.0,658.0,21.0,90.0,27.0,49.0,Good
118,Gujarat,Shapar,29.0,47.0,,,,11.0,94.0,27.0,48.0,Good
119,Gujarat,Babra,38.0,61.0,,,,19.0,92.0,26.0,63.0,Satisfactory
120,Gujarat,Vinchhiya,29.0,49.0,38.0,13.0,658.0,21.0,92.0,26.0,49.0,Good
121,Gujarat,Botad,29.0,49.0,38.0,13.0,658.0,18.0,90.0,27.0,49.0,Good
122,Gujarat,Wankaner,29.0,47.0,,,,20.0,89.0,27.0,48.0,Good
123,Gujarat,Sayla,29.0,49.0,38.0,13.0,658.0,21.0,89.0,27.0,49.0,Good
124,Haryana,Barwala,85.0,125.0,19.0,11.0,629.0,18.0,57.0,33.0,183.0,Moderate
125,Haryana,Tosham,24.0,69.0,15.0,8.0,1100.0,22.0,49.0,33.0,69.0,Satisfactory
126,Haryana,Meham,24.0,69.0,15.0,8.0,1100.0,17.0,53.0,33.0,69.0,Satisfactory
127,Haryana,Kalanaur,56.0,69.0,39.0,8.0,520.0,18.0,51.0,33.0,94.0,Satisfactory
128,Hisar,Narnaund,49.0,66.0,58.0,4.0,1080.0,14.0,63.0,31.0,82.0,Satisfactory
129,Haryana,Julana,49.0,66.0,58.0,4.0,1080.0,19.0,56.0,33.0,82.0,Satisfactory
130,Jind,Jind,49.0,66.0,58.0,4.0,1080.0,20.0,58.0,32.0,82.0,Satisfactory
