,State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
225,Maharashtra,Waladgaon,9.0,24.0,34.0,7.0,740.0,33.0,96.0,22.0,37.0,Good
258,Manipur,Laipham Siphai,16.0,20.0,,7.0,166.0,2.0,88.0,25.0,27.0,Good
158,India,Karimganj,24.0,33.0,1.0,10.0,115.0,5.0,87.0,28.0,40.0,Good
109,Goa,Ponda,35.0,54.0,,,,22.0,90.0,25.0,58.0,Satisfactory
17,Assam,Tinsukia,21.0,32.0,6.0,12.0,274.0,1.0,81.0,28.0,35.0,Good
234,Manipur,Kakching,16.0,20.0,,7.0,166.0,4.0,77.0,26.0,27.0,Good
24,India,Golaghat,17.0,27.0,6.0,13.0,226.0,1.0,96.0,26.0,28.0,Good
323,Rajasthan,Kuchera,30.0,43.0,26.0,15.0,869.0,6.0,64.0,31.0,50.0,Good
148,Jharkhand,Ranchi,42.0,60.0,,,,19.0,100.0,25.0,70.0,Satisfactory
247,Mizoram,Khawhai,13.0,16.0,,1.0,210.0,2.0,82.0,22.0,21.0,Good
157,Assam,Bishnupur,24.0,33.0,1.0,10.0,115.0,3.0,91.0,28.0,40.0,Good
165,Mizoram,Kolasib,24.0,33.0,1.0,10.0,115.0,1.0,90.0,24.0,40.0,Good
253,Mizoram,Kolasib,24.0,33.0,1.0,10.0,115.0,1.0,90.0,24.0,40.0,Good
379,Uttar Pradesh,Zaidpur,51.0,78.0,25.0,15.0,597.0,24.0,65.0,30.0,85.0,Satisfactory
119,Gujarat,Babra,38.0,61.0,,,,19.0,92.0,26.0,63.0,Satisfactory
196,Sikkim,Majhitar,21.0,34.0,10.0,5.0,231.0,2.0,80.0,29.0,34.0,Good
219,Madhya Pradesh,Harrai,35.0,52.0,19.0,24.0,717.0,14.0,87.0,25.0,58.0,Satisfactory
286,Odisha,Athmallik,46.0,66.0,,,,5.0,87.0,28.0,76.0,Satisfactory
152,Jharkhand,Gumia,42.0,60.0,,,,18.0,88.0,26.0,70.0,Satisfactory
335,West Bengal,Darjeeling,21.0,34.0,10.0,5.0,231.0,3.0,80.0,18.0,34.0,Good
36,Bihar,Rajgir,7.0,62.0,11.0,5.0,340.0,25.0,72.0,30.0,62.0,Satisfactory
139,Himachal Pradesh,Suni,26.0,86.0,48.0,10.0,460.0,,94.0,27.0,86.0,Satisfactory
381,Uttarakhand,Srinagar,50.0,84.0,31.0,8.0,473.0,2.0,81.0,29.0,84.0,Satisfactory
377,Uttar Pradesh,Nagram,31.0,63.0,25.0,13.0,160.0,24.0,62.0,30.0,63.0,Satisfactory
198,West Bengal,Darjeeling,21.0,34.0,10.0,5.0,231.0,3.0,80.0,18.0,34.0,Good
227,Maharashtra,Partur,33.0,50.0,10.0,21.0,390.0,31.0,95.0,22.0,55.0,Satisfactory
59,Chhattisgarh,Bhilai,39.0,56.0,8.0,6.0,389.0,5.0,86.0,26.0,65.0,Satisfactory
111,Goa,Curchorem,35.0,54.0,,,,22.0,90.0,25.0,58.0,Satisfactory
355,Telangana,Peddapalli,42.0,65.0,17.0,7.0,309.0,21.0,92.0,24.0,69.0,Satisfactory
175,Karnataka,Kawaloor,1.0,4.0,19.0,16.0,280.0,35.0,85.0,23.0,22.0,Good
6,Andhra Pradesh,Markapur,35.0,53.0,24.0,8.0,308.0,27.0,72.0,27.0,58.0,Satisfactory
290,Odisha,Talcher,13.0,14.0,11.0,12.0,500.0,12.0,81.0,28.0,40.0,Good
277,Assam,Barpathar,24.0,39.0,12.0,14.0,367.0,2.0,96.0,26.0,40.0,Good
150,Himachal Pradesh,Dagshai,18.0,35.0,48.0,12.0,300.0,6.0,81.0,20.0,48.0,Good
10,Andhra Pradesh,Kanigiri,35.0,53.0,24.0,8.0,308.0,32.0,70.0,28.0,58.0,Satisfactory
194,West Bengal,Mirik,29.0,45.0,22.0,13.0,753.0,6.0,79.0,20.0,49.0,Good
